Activity Sol,Location,Feature,Target Name,Target Type,Site,Drive,x,y,z,u,v,w,Image ID,i,j,Target Notes
13, Plains,First_Soil,First_Soil1_Final,Soil,3,9,0.406622,-0.859749,0.275765,0.095748,-0.031037,-0.994659,2F127436154FFL0309P1003L0M1,593,580,
17, Plains,Adirondack,Prospect,Rock,3,27,-3.12262,-0.991388,0.046595,0.808194,0.537922,-0.239715,2F127703379FFL0327P1214L0M1,537,454,
33, Plains,Adirondack,Blue,Rock,3,27,-3.08479,-0.864048,0.132294,0.579051,0.431888,-0.690718,2F127703379FFL0327P1214L0M1,486,491,
39, Plains,Areba,Sideslope2,Soil,4,0,0.880608,1.20065,0.257795,0.151436,-0.21452,-0.964999,2F129653855FFL0400P1210L0M1,590,451,
41, Plains,Arena,Trough,Soil,5,6,1.78825,1.01536,0.290601,0.02138,-0.379444,-0.924968,2F129914137FFL0506P1210L0M1,483,527,
41, Plains,Arena,Crest,Soil,5,6,1.59,1.06,0.28,,,,2F129914137FFL0506P1210L0M1,537,568,
42, Plains,Mimi_Shoe,Lace,Rock,5,14,0.911943,1.50831,0.175788,0.066129,-0.216737,-0.97402,2F130011182FFL0514P1210L0M1,569,549,
43, Plains,Mimi_Tracks,Tracks,Soil,5,14,0.80274,1.364785,0.215856,0.043237,-0.105595,-0.993472,2F130011182FFL0514P1210L0M1,610,629,
44, Plains,Ramp_Flats,Soil1,Soil,7,0,0.63,0.9,0.25,,,,2F130196049FFL0700P1210L0M1,562,531,
45, Plains,Angel_Flats,Halo_01,Soil,8,0,0.921294,0.499053,0.241808,-0.125484,0.057161,-0.990434,2F130277389FFL0800P1210L0M1,482,548,
46, Plains,Grande_Flats,Trout1,Soil,9,0,0.506612,0.938411,0.284358,0.115894,0.006593,-0.993387,2F130364765FFL0900P1210L0M1,498,534,
48, Plains,Road_Cut,Wall_MI_only1,Trench,9,167,0.373467,0.912738,0.307812,-0.29839,-0.755875,-0.582767,2F130537129FFL09BVR2500L0M1,516,510,
48, Plains,Road_Cut,Below_Wall_MI_only1,Trench,9,167,0.370025,0.904995,0.333372,-0.270591,-0.81841,-0.506936,2F130537129FFL09BVR2500L0M1,516,518,
48, Plains,Road_Cut,Floor3,Trench,9,167,0.166906,0.86915,0.36143,0.336823,0.182962,-0.923621,2F130537129FFL09BVR2500L0M1,582,553,
49, Plains,Road_Cut,Dividing_Line,Trench,9,167,0.198955,0.961894,0.311135,-0.12785,-0.897609,-0.421843,2F130537129FFL09BVR2500L0M1,581,516,
49, Plains,Road_Cut,Mason_Dixon,Trench,9,167,0.239242,0.954098,0.318543,-0.099636,-0.892896,-0.437387,2F130537129FFL09BVR2500L0M1,566,516,
49, Plains,Road_Cut,Wall3,Trench,9,167,0.449188,0.880324,0.309533,-0.306809,-0.791739,-0.526536,2F130537129FFL09BVR2500L0M1,487,511,
51, Plains,Split_Rock_Flats,Soil2,Soil,10,0,0.794082,0.569496,0.303451,0.163182,0.092263,-0.982273,2F130806861FFL1000P1210L0M1,506,561,
52, Plains,Sugar,SugarT1,Soil,11,0,0.765363,-0.580744,0.246688,-0.165992,0.058717,-0.984758,2F130897419FFL1100P1210L0M1,451,568,
54, Plains,Wrinkle,Ridge1,Soil,11,24,3.23,1.53,0.45,,,,2F131063369FFL1124P1214L0M1,603,545,
55, Plains,Humphrey,Heyworth,Rock,11,45,6.0712,5.84834,0.047795,0.077301,-0.916496,-0.392504,2F131168226FFL1145P1214L0M1,469,408,
55, Plains,Humphrey,Ashley,Rock,11,45,6.09038,5.8761,0.064142,0.071772,-0.917688,-0.390765,2F131168226FFL1145P1214L0M1,468,411,
57, Plains,Humphrey,Right_Ear,Rock,11,55,6.065,5.882,0.028,0.030001,-0.91602,-0.400009,2F131346078FFL1155P1234L0M1,456,393,
63, Plains,Plank,Nail4,Soil,13,0,0.920902,0.6216,0.214154,-0.429659,-0.024583,-0.902656,2F131871527FFL1300P1212L0M1,402,524,
65, Plains,Sugar_Loaf_Flats,Soil1,Soil,15,0,0.78,0.75,0.13,,,,2F132046391FFL1500P1210L0M1,469,566,
65, Plains,Sugar_Loaf_Flats,Escarpment1,Soil,15,0,0.78,0.72,0.13,,,,2F132046391FFL1500P1210L0M1,460,571,
68, Plains,Deserts,Gobi1,Soil,18,0,0.659831,0.791815,0.284468,-0.044658,-0.003587,-0.998901,2F132319564FFL1800P1212L0M1,447,545,
71, Plains,Deserts,Window,Soil,18,0,0.16839,0.820035,0.264035,0.4157,-0.031129,-0.908969,2F132319564FFL1800P1212L0M1,675,639,
73,"Plains, Serpent Ripple",Bear_Paw,Polar,Scuff,20,0,1.13551,0.489399,0.231605,-0.256049,0.105107,-0.961506,2F132759178FFL2000P1212L0M1,370,486,
73,"Plains, Serpent Ripple",Bear_Paw,Spectacle2,Scuff,20,0,1.06786,0.650799,0.261808,-0.494044,-0.19944,-0.846253,2F132759178FFL2000P1212L0M1,440,477,
73,"Plains, Serpent Ripple",Bear_Paw,Kodiak,Scuff,20,0,1.08922,0.547913,0.253439,-0.599693,0.127328,-0.790036,2F132759178FFL2000P1212L0M1,402,489,
73,"Plains, Serpent Ripple",Bear_Paw,Panda_New,Scuff,20,0,1.014,0.465,0.183,-0.491067,0.871119,0.002,2F132759178FFL2000P1212L0M1,372,498,
75,Bonneville Crater Rim,Patio,Soil2,Soil,21,0,-0.36920702,0.99905634,0.2420323,0.21447903,-0.08491606,-0.9730303,2F132941987FFL2100P1212L0M1,529,537,
76,Bonneville Crater Rim,Paperback,Appendix,Rock,22,0,-0.598188,1.0503,0.169474,-0.021833,-0.168493,-0.985919,2F133027454FFL2200P1212L0M1,576,489,
77,Bonneville Crater Rim,Mazatzal_Flats,Soil1,Soil,22,24,-4.2780704,5.5981455,-0.08663369,-0.24430165,-0.29235017,-0.92429745,2F133119442FFL2224P1214L0M1,435,492,
78,Bonneville Crater Rim,Mazatzal,Arizona,Rock,22,32,-4.3119,6.00727,-0.13567,0.262788,-0.234423,-0.935942,2F133207343FFL2232P1214L0M1,581,496,
78,Bonneville Crater Rim,Mazatzal,Illinois,Rock,22,32,-4.235866,6.064522,-0.170942,0.203894,-0.461366,-0.863463,2F133207343FFL2232P1214L0M1,549,494,
78,Bonneville Crater Rim,Mazatzal,New_York,Rock,22,32,-4.20333,6.15509,-0.168264,0.382724,-0.269262,-0.883123,2F133207343FFL2232P1214L0M1,514,491,
80,Bonneville Crater Rim,Mazatzal,Texas,Rock,22,32,-4.11599,6.19458,-0.149763,0.27985,-0.289826,-0.915251,2F133207343FFL2232P1214L0M1,483,508,
82,Bonneville Crater Rim,Mazatzal,Oregon,Rock,22,32,-4.30958,6.3646,-0.236806,0.333152,-0.34472,-0.877598,2F133207343FFL2232P1214L0M1,479,437,
83,Bonneville Crater Rim,Mazatzal,Brooklyn,Rock,22,32,-4.188,6.143,-0.182,0.345972,-0.261979,-0.900927,2F133207343FFL2232P1214L0M1,514,491,
85,Bonneville Crater Rim,Mazatzal,Hawaii,Rock,22,32,-4.10971,6.27191,-0.152688,0.222958,-0.079723,-0.971563,2F133207343FFL2232P1214L0M1,460,499,
86,Bonneville Crater Rim,Mazatzal,Missouri,Rock,22,32,-4.238916,6.346113,-0.232641,0.550661,-0.165709,-0.818116,2F133207343FFL2232P1214L0M1,468,449,
89,Bonneville Crater Rim,Snowboard,Shredder,Rock,24,0,-0.589925,1.00645,0.241834,0.335883,-0.084215,-0.938131,2F134182757FFL2400P1210L0M1,515,534,
89,Bonneville Crater Rim,TCHS,Rams,Rock,24,0,-0.520221,1.17758,0.219996,0.17825,-0.23823,-0.954711,2F134182757FFL2400P1210L0M1,468,506,
94,Bonneville Crater Rim,Route_66,Candidate7,Rock,27,0,-0.609,1.105,0.106,0.678694,0.15593,-0.717677,2F134614869FFL2700P1403L0M1,484,448,
99,Bonneville Crater Rim,Route_66,SoHo,Rock,27,0,-0.717,0.972,0.137,0.173961,-0.568871,-0.803818,2F134614869FFL2700P1403L0M1,547,469,
105,Plains,Bitterroot_Flats,Flats1,Soil,30,0,-0.595359,0.955215,0.258705,-0.057869,0.147936,-0.987742,2F135518768FFL3000P1212L0M1,537,520,
110,Plains,Waffle_Flats,Soil1,Soil,34,0,-0.5,0.91,0.22,,,,2F136049800FFL3400P1212L0M1,593,529,
113,Plains,Big_Hole,MayFly,Soil,37,0,-0.267348,1.0604,0.301774,0.120427,0.085085,-0.989203,2F136319165FFL3700P1212L0M1,473,528,
114,Plains,Big_Hole,RS2,Trench,37,182,-0.263526,0.790821,0.354738,0.137261,0.23181,-0.963028,2F136404231FFL37CAP1104L0M1,517,546,
114,Plains,Big_Hole,Stonefly,Trench,37,182,-0.208615,0.941676,0.303954,0.263251,-0.599162,-0.754841,2F136404231FFL37CAP1104L0M1,485,500,
114,Plains,Big_Hole,Brassie,Trench,37,182,-0.300222,0.922739,0.294271,0.458133,-0.408427,-0.789495,2F136404231FFL37CAP1104L0M1,518,498,
115,Plains,Big_Hole,Trico,Trench,37,182,-0.166379,0.815849,0.367297,0.197256,0.224015,-0.954572,2F136404231FFL37CAP1104L0M1,480,547,
122,Plains,Cutthroat,Owens,Scuff,42,4,0.650258,0.639034,0.337797,0.133626,0.046114,-0.98976,2F137115892FFL4204P1212L0M1,488,578,
126,Plains,Truckin_Flats,Accelerator,Soil,46,0,0.160532,1.20398,0.341583,-0.06097,0.200187,-0.978595,2F137470978FFL4600P1212L0M1,544,502,
135,Plains,Hillyer,Horse_Flats,Trench,54,0,0.588656,0.706589,0.331571,0.193163,-0.06835,-0.978826,2F138266628FFL5400P1210L0M1,530,581,
140,Plains,The_Boroughs,Mills_Basin,Trench,54,182,-1.08227,3.74897,0.364011,-0.286284,0.364708,-0.885709,2F138360777FFL54CAP1104L0M1,465,559,
140,Plains,The_Boroughs,Williamsburg,Trench,54,182,-1.22,3.90687,0.290808,0.010538,-0.761693,-0.647853,2F138360777FFL54CAP1104L0M1,518,504,
140,Plains,The_Boroughs,Mills3,Trench,54,182,-1.151,3.808,0.368,-0.024007,-0.053016,-0.998305,2F138360777FFL54CAP1104L0M1,492,545,
140,Plains,The_Boroughs,Hell's_Kitchen,Trench,54,182,-1.22129,3.89991,0.305308,-0.043739,-0.862435,-0.504275,2F138360777FFL54CAP1104L0M1,518,509,
141,Plains,The_Boroughs,Fordham,Trench,54,182,-1.14137,3.8795,0.334614,-0.077858,-0.75641,-0.649448,2F138360777FFL54CAP1104L0M1,490,519,
141,Plains,The_Boroughs,Kew_Gardens,Trench,54,182,-1.30127,3.89812,0.288893,0.177033,-0.813686,-0.553691,2F138360777FFL54CAP1104L0M1,547,508,
150,Plains,Mohave,Joshua,Rock,61,4,0.278974,0.933703,0.291057,-0.489161,-0.162613,-0.8569,2F139503539FFL6104P1212L0M1,551,551,
158,Plains,Red_Stripe,White_Stripe,Rock,68,0,-0.547698,1.14304,0.058289,0.289431,-0.855947,-0.428467,2F140212503FFL6800P1201L0M1,634,469,
158,Plains,Shredded,Dark4,Scuff,68,0,-0.092398,0.965519,0.154654,-0.079456,-0.03138,-0.996905,2F140212503FFL6800P1201L0M1,478,578,
160,"Columbia Hills, West Spur",End_of_the_Rainbow,Dante's_Peak,Rock,69,0,-0.935695,0.110755,0.178856,-0.146321,-0.225015,-0.96285,2F140490253FFL6900P1212L0M1,435,570,
161,"Columbia Hills, West Spur",End_of_the_Rainbow,Dante's_Peak2,Rock,69,0,-0.916432,0.118499,0.181223,0.260825,-0.225434,-0.938371,2F140490253FFL6900P1212L0M1,430,579,
162,"Columbia Hills, West Spur",End_of_the_Rainbow,Gold_Klumpen3,Rock,69,4,-0.908958,0.15662,0.192325,0.364447,-0.163769,-0.916711,2F140670863FFL6904P1214L0M1,533,590,
162,"Columbia Hills, West Spur",End_of_the_Rainbow,Gold_Klumpen5,Rock,69,4,-0.884488,0.179488,0.206657,0.551233,0.324953,-0.768471,2F140670863FFL6904P1214L0M1,520,602,
163,"Columbia Hills, West Spur",End_of_the_Rainbow,Gold_Klumpen2,Rock,69,4,-0.903966,0.1829,0.192095,0.50835,0.409279,-0.757675,2F140670863FFL6904P1214L0M1,520,590,
163,"Columbia Hills, West Spur",End_of_the_Rainbow,Gold_Klumpen4,Rock,69,4,-0.884488,0.179488,0.206657,0.551233,0.324953,-0.768471,2F140670863FFL6904P1214L0M1,520,602,
163,"Columbia Hills, West Spur",End_of_the_Rainbow,Gold_Klumpen7,Rock,69,4,-0.89354,0.181119,0.198475,0.490861,0.392817,-0.777656,2F140670863FFL6904P1214L0M1,520,596,
163,"Columbia Hills, West Spur",End_of_the_Rainbow,Gold_Klumpen1,Rock,69,4,-0.86,0.14,0.19,0.421148,-0.0917573,-0.902339,2F140670863FFL6904P1214L0M1,538,611,
164,"Columbia Hills, West Spur",End_of_the_Rainbow,Goldregen1,Rock,69,4,-0.861901,0.151845,0.215207,0.562556,0.106282,-0.819899,2F140670863FFL6904P1214L0M1,532,616,
164,"Columbia Hills, West Spur",End_of_the_Rainbow,Goldregen2,Rock,69,4,-0.881787,0.112281,0.209471,0.411661,-0.238431,-0.879594,2F140670863FFL6904P1214L0M1,553,609,
164,"Columbia Hills, West Spur",End_of_the_Rainbow,Goldfin1,Rock,69,4,-0.850253,0.031803,0.229558,0.489685,-0.365841,-0.790518,2F140670863FFL6904P1214L0M1,593,636,
166,"Columbia Hills, West Spur",Fort_Knox,GoldBar1,Soil,69,62,-1.31552,0.806859,-0.169994,-0.153415,-0.135523,-0.978517,2F141024103FFL6962P1212L0M1,465,673,
166,"Columbia Hills, West Spur",Fort_Knox,Goldstaub,Soil,69,62,-1.28749,1.06011,-0.161056,-0.104207,-0.011847,-0.994485,2F141024103FFL6962P1212L0M1,515,579,
167,"Columbia Hills, West Spur",Goldfinger,Jaws,Soil,69,80,-1.45772,3.08035,-0.607577,-0.02924,-0.312581,-0.949441,2F141111966FFL6980P1212L0M1,525,524,
170,"Columbia Hills, West Spur",Pot_of_Gold,Pot_of_Gold,Rock,69,104,-1.399,5.046,-1.002,0.475422,-0.220195,-0.851756,2F141279045FFL69A4P1229L0M1,532,583,
175,"Columbia Hills, West Spur",Breadbox,Wheat4,Rock,69,108,-1.469626,4.509947,-0.896738,-0.115944,-0.318204,-0.940905,2F142002973FFL69A8P1201L0M1,575,575,
175,"Columbia Hills, West Spur",Breadbox,Wheat1,Rock,69,108,-1.46,4.493,-0.884,-0.099997,-0.526983,-0.843973,2F142002973FFL69A8P1201L0M1,569,584,
175,"Columbia Hills, West Spur",Breadbox,Wheat2,Rock,69,108,-1.483,4.496,-0.891,-0.099997,-0.526983,-0.843973,2F142002973FFL69A8P1201L0M1,581,583,
175,"Columbia Hills, West Spur",Breadbox,Wheat3,Rock,69,108,-1.449,4.504,-0.9,0.243614,-0.523283,-0.816595,2F142002973FFL69A8P1201L0M1,565,574,
175,"Columbia Hills, West Spur",Breadbox,Sourdough,Rock,69,108,-1.47388,4.53382,-0.901988,-0.225002,-0.198457,-0.954294,2F142002973FFL69A8P1201L0M1,578,566,
177,"Columbia Hills, West Spur",String_of_Pearls,Pearl1,Rock,69,108,-1.456,4.597,-0.953,-0.293115,-0.210802,-0.932548,2F142002973FFL69A8P1201L0M1,575,530,
181,"Columbia Hills, West Spur",Cookie_Cutter,Shortbread,Soil,69,120,-2.164,3.645,-0.686,-0.001999,-0.3279,-0.94471,2F142180679FFL69AKP1212L0M1,630,532,
191,"Columbia Hills, West Spur",Loofah,Jerry,Rock,73,0,-0.846,0.548,0.101,-0.328071,-0.353076,-0.876189,2F143240392FFL7300P1212L0M1,406,547,
193,"Columbia Hills, West Spur",Wooly_Patch,Mammoth4,Rock,75,0,0.762,-0.788,0.408,0.040004,-0.11901,-0.992087,2F143419112FFL7500P1212L0M1,487,522,
194,"Columbia Hills, West Spur",Wooly_Patch,Sabre,Rock,76,0,-0.829925,0.111958,0.236015,-0.104374,-0.230069,-0.967633,2F143512069FFL7600P1214L0M1,490,634,
197,"Columbia Hills, West Spur",Wooly_Patch,Mastodon,Rock,76,0,-0.723925,0.080322,0.235546,-0.063282,-0.243381,-0.968114,2F143512069FFL7600P1214L0M1,506,696,
212,"Columbia Hills, West Spur",Clovis,Cochiti,Rock,85,0,0.777005,0.085412,0.359727,0.393833,-0.281436,-0.874701,2F145016154FFL8500P1214L0M1,554,623,
212,"Columbia Hills, West Spur",Clovis,Jemez,Rock,85,0,0.76,0.08,0.35,,,,2F145016154FFL8500P1214L0M1,554,631,
212,"Columbia Hills, West Spur",Clovis,Plano,Rock,85,0,0.608174,0.21481,0.273488,0.309935,-0.436945,-0.844405,2F145016154FFL8500P1214L0M1,673,758,
227,"Columbia Hills, West Spur",Frio,Kilarney_Flats,Soil,85,42,0.938879,3.48615,-0.328947,0.121198,0.10677,-0.98687,2F146436717FFL8542P1210L0M1,454,556,
228,"Columbia Hills, West Spur",Ebenezer,Scrooge,Rock,86,0,-0.874187,0.652623,-0.079957,0.377918,-0.132536,-0.916728,2F146526791FFL8600P1214L0M1,491,545,
228,"Columbia Hills, West Spur",Ebenezer,Cratchit2,Rock,86,0,-0.987,0.626,-0.127,0.308125,-0.335136,-0.890361,2F146526791FFL8600P1214L0M1,522,514,
228,"Columbia Hills, West Spur",Ebenezer,Tiny_Tim,Rock,86,0,-0.963171,0.680967,-0.139427,0.449003,-0.183058,-0.875026,2F146526791FFL8600P1214L0M1,500,510,
229,"Columbia Hills, West Spur",Ebenezer,Marley,Rock,86,0,-0.860215,0.673134,-0.0821,0.272281,-0.204366,-0.940339,2F146526791FFL8600P1214L0M1,481,545,
229,"Columbia Hills, West Spur",Ebenezer,Fezziwig,Rock,86,0,-1.0191,0.513993,-0.079727,0.149885,-0.708001,-0.690122,2F146526791FFL8600P1214L0M1,566,532,
229,"Columbia Hills, West Spur",Ebenezer,Cratchit,Rock,86,0,-0.99273,0.645534,-0.133715,0.313585,-0.340574,-0.88722,2F146526791FFL8600P1214L0M1,517,510,
235,"Columbia Hills, West Spur",Ebenezer,Fritz,Rock,86,0,-0.95647,0.59405,-0.09726,0.361736,-0.323063,-0.874516,2F146526791FFL8600P1214L0M1,527,530,
236,"Columbia Hills, West Spur",West Spur,Swiveller,Rock,86,0,-0.935,0.573,-0.075,0.299146,-0.358175,-0.884433,2F146526791FFL8600P1214L0M1,531,543,
240,"Columbia Hills, West Spur",Tikal,Green_Eyes,Rock,88,0,0.185,0.636,0.327,0.147064,0.164071,-0.975424,2F147590621FFL8800P1214L0M1,627,721,
259,"Columbia Hills, West Spur",Conjunction_Junction,Disturbance,Rock,88,0,0.191,0.64,0.331,0.258881,0.118945,-0.958558,2F147590621FFL8800P1214L0M1,623,715,
266,"Columbia Hills, West Spur",Temples,Dwarf,Rock,89,0,-0.787,0.679,0.035,-0.197052,-0.294078,-0.935248,2F149894981FFL8900P1214L0M1,507,550,
270,"Columbia Hills, West Spur",Temples,Dwarf_Edge2,Rock,89,0,-0.774,0.602,0.039,-0.031004,-0.649077,-0.76009,2F149894981FFL8900P1214L0M1,531,567,
272,"Columbia Hills, West Spur",Tetl,MI1,Rock,89,53,-1.67928,0.78533,-0.04653,-0.201721,-0.448711,-0.870613,2F150427991FFL8953P1214L0M1,507,658,
273,"Columbia Hills, West Spur",Tetl,Thin_Layer,Rock,89,53,-1.609,0.734,-0.032,-0.172222,-0.541,-0.8232,2F150427991FFL8953P1214L0M1,558,668,
275,"Columbia Hills, West Spur",Tetl,Clump,Rock,89,53,-1.76222,0.80515,-0.04234,-0.37329,-0.535404,-0.757626,2F150427991FFL8953P1214L0M1,472,635,
276,"Columbia Hills, West Spur",Tetl,Squeeze,Rock,89,53,-1.634,0.755,-0.04,-0.20207,-0.449156,-0.870302,2F150427991FFL8953P1214L0M1,538,665,
276,"Columbia Hills, West Spur",Tetl,Edge,Rock,89,53,-1.557,0.731,-0.033,0.183364,-0.585403,-0.789735,2F150427991FFL8953P1214L0M1,585,691,
279,"Columbia Hills, West Spur",Take_a_Break,Coffee,Scuff,89,82,0.159341,1.46812,0.085852,-0.028745,-0.196506,-0.979751,2F150959400FFL8982P1201L0M1,532,506,
283,"Columbia Hills, West Spur",Uchben,Koolik2,Rock,89,87,3.692,3.275,-0.001,0.20607,0.020007,-0.978333,2F151318180FFL8987P1214L0M1,502,611,
284,"Columbia Hills, West Spur",Uchben,Koolik,Rock,89,87,3.59253,3.2805,0.002166,0.277986,-0.040578,-0.959728,2F151318180FFL8987P1214L0M1,476,577,
290,"Columbia Hills, West Spur",Uchben,Chiikbes,Rock,89,87,3.876,3.304,0.027,0.153021,-0.013002,-0.988137,2F151318180FFL8987P1214L0M1,555,733,
292,"Columbia Hills, West Spur",Uchben,Fine,Rock,89,87,3.62274,3.15041,0.078782,-0.329742,-0.443281,-0.83353,2F151318180FFL8987P1214L0M1,541,576,
297,"Columbia Hills, West Spur",Lutefisk,Pickled,Rock,89,115,4.67094,1.61382,0.297022,0.355403,-0.351781,-0.86522,2F152650272FFL89AFP1214L0M1,593,637,
298,"Columbia Hills, West Spur",Lutefisk,Flatfish,Rock,89,118,4.49087,1.11581,0.290302,0.071488,0.12533,-0.988602,2F152740202FFL89AIP1214L0M1,499,531,
298,"Columbia Hills, West Spur",Lutefisk,Twins,Rock,89,118,4.53141,1.13927,0.291477,0.211901,0.01806,-0.976258,2F152740202FFL89AIP1214L0M1,517,543,
298,"Columbia Hills, West Spur",Lutefisk,Fish_Eyes,Rock,89,118,4.6205,1.1512,0.313386,0.461368,-0.115136,-0.879225,2F152740202FFL89AIP1214L0M1,563,559,
298,"Columbia Hills, West Spur",Lutefisk,Rat_Roe,Rock,89,118,4.681,1.202,0.335,0.497082,-0.052009,-0.866143,2F152740202FFL89AIP1214L0M1,594,592,
299,"Columbia Hills, West Spur",Lutefisk,Rat_Fish,Rock,89,118,4.491,1.116,0.29,0.058972,0.158924,-0.985528,2F152740202FFL89AIP1214L0M1,499,531,
