SOL,TARGET_CCA,TARGET,TARGET_MSL,EASTING_M,NORTHING_M,ELEV_M,LATITUDE,LONGITUDE
1300,Arco,Arco,Arco,8141934.359,-277305.6838,-4429.62898,-4.678314617,137.3593574
1300,Bero,Bero,Bero,8141936.352,-277306.8486,-4429.5926,-4.678334267,137.359391
1300,Iona,Iona,Iona,8141934.664,-277305.6171,-4429.64353,-4.678313491,137.3593625
1302,LD_Peace_Vallis_Az338_El0.9_Sol1299,LD_Peace_Vallis_Az338_El0.9_Sol1299,LD_Peace_Vallis_Az338_El0.9_Sol1299,8141931.297,-277291.3913,-4427.49549,-4.678073494,137.3593057
1303,Marble_Koppie,Marble_Koppie,Marble_Koppie,8141935.101,-277304.9777,-4429.35055,-4.678302703,137.3593699
1303,Omingonde,Omingonde,Omingonde,8141936.54,-277307.2895,-4429.510916,-4.678341705,137.3593941
1303,Tsondab,Tsondab,Tsondab,8141936.597,-277307.56,-4429.472738,-4.678346268,137.3593951
1305,Katwitwi,Katwitwi,Katwitwi,8141930.411,-277307.5207,-4429.27142,-4.678345607,137.3592907
1309,Kapako_sol1309,Kapako_sol1309,Kapako_sol1309,8141933.285,-277307.5157,-4429.369662,-4.678345522,137.3593392
1309,LD_Sol1307_PV_AZ313.3_El-0.54,LD_Sol1307_PV_AZ313.3_El-0.54,LD_Sol1307_PV_AZ313.3_El-0.54,8141923.428,-277297.8701,-4427.683281,-4.678182795,137.3591729
1310,Lubango,Lubango,Lubango,8141925.515,-277304.4392,-4429.355344,-4.67829362,137.3592082
1311,Amspoort,Amspoort,Amspoort,8141909.751,-277304.7343,-4430.877063,-4.678298598,137.3589422
1311,Garnet_Koppie,Garnet_Koppie,Garnet_Koppie,8141909.551,-277305.1255,-4430.904619,-4.678305198,137.3589388
1311,Soutrivier,Soutrivier,Soutrivier,8141908.041,-277305.2333,-4431.109299,-4.678307017,137.3589134
1311,Uubvley,Uubvley,Uubvley,8141905.764,-277306.4027,-4431.289954,-4.678326744,137.3588749
