anPlaceId,frame,i,id,imageId,normalEstimated,j,locationEstimated,name,notes,owner,priority,rmc,site,pos,rsvpId,sol,u,v,w,writeProtected,x,y,z,version,anProcStatus,hasProductMatches,areProductMatchesUpToDate,anLocatorImageId
101116,LOCAL_LEVEL,346.1719538,8909bd0b-5355-426f-b561-7820cf8e79dc,NLB_467626313RAS_F0440256NCAM00292M_,1,483.4643321,1,Cajon,Formerly N79216,mday,,"44, 256",44,256,,792,0.790185719,-0.075632528,-0.608182732,1,-4.557002161,-1.661002157,-1.187028071,0,1,1,1,NULL
101117,LOCAL_LEVEL,764.4843386,ab61d2b4-29a2-4bdd-aa10-994bcb6e3557,NLB_467626281RASLF0440256NCAM00292M_,1,448.3488972,1,N79217,,jbeek,,"44, 256",44,256,,792,0.770473415,0.554139116,-0.315119936,0,-4.684312015,-0.859845929,-1.277723226,0,1,1,1,NULL
101118,LOCAL_LEVEL,452.2346497,6cb8e080-7648-4e8b-8158-d436e7b32ce8,NLB_467626281RAS_F0440256NCAM00292M_,1,398.65448,1,N79218,,stack,,"44, 256",44,256,,792,0.704908019,0.626330898,-0.332887849,0,-5.44384263,0.147368565,-1.326488274,0,1,1,1,NULL
101119,LOCAL_LEVEL,343.1055908,79d3a8ae-d619-4cbe-be60-6a32bd22d5af,NLB_467626281RAS_F0440256NCAM00292M_,1,358.7539673,1,N79219,,stack,,"44, 256",44,256,,792,0.913350293,-0.254257936,0.31803174,0,-5.898511663,0.583920646,-1.425101715,0,1,1,1,NULL
101120,LOCAL_LEVEL,97.87548065,40ac65a8-4a54-4750-b3ee-6d50b4cd520b,NLB_467189518RASLF0440036NCAM00288M_,1,424.9933167,1,bland_01,"approximate location of rover during MARDI motion detection, skipped frames",maki,,"44, 36",44,36,,792,-0.199384022,-0.162159189,-0.966411099,0,-5.53501845,6.672503384,-0.643524686,0,1,1,1,NULL
101121,LOCAL_LEVEL,569.8031006,e74f7b0c-dca9-484e-8fa4-a1fdd87016a8,NLB_464175247RAS_F0420852NCAM07753M_,1,739.7834473,1,CC_1,,dlblaney,,"42, 852",42,852,,793,-0.026241827,-0.016402489,-0.999521058,0,-2.21498433,-3.866325405,0.023601114,0,1,1,1,NULL
101122,LOCAL_LEVEL,603.675795,8d8bc55b-f28e-4421-9af7-0c8c3ff8100e,NLB_464175247RAS_F0420852NCAM07753M_,1,618.7470042,1,CC_2,,dlblaney,,"42, 852",42,852,,793,-0.078397493,-0.100931361,-0.991799725,0,-2.397126302,-5.127691491,0.107986958,0,1,1,1,NLB_464175247RADLF0420852NCAM07753M1
101123,LOCAL_LEVEL,209.6541748,6c19b7fa-0468-4eae-9c86-e2fa6085ee1e,NLB_464175277RAS_F0420852NCAM07753M_,1,456.3269348,1,CC_3,,dlblaney,,"42, 852",42,852,,793,-0.222068952,-0.083986079,-0.971407106,0,-1.894712588,-13.92170561,1.034522199,0,1,1,1,NULL
101124,LOCAL_LEVEL,634.5499268,26d5d1d3-0271-4eea-abb6-950379d88357,NLB_464175277RAS_F0420852NCAM07753M_,1,431.7514648,1,CC_4,,dlblaney,,"42, 852",42,852,,793,0.013477927,-0.055283045,-0.998379752,0,2.229197371,-11.25424581,0.789880185,0,1,1,1,NULL
101125,LOCAL_LEVEL,592.4078369,748858f2-c5a1-4dcb-9e5f-9fcef3dd6b34,NLB_464175308RAS_F0420852NCAM07753M_,1,631.8198853,1,CC_5,,dlblaney,,"42, 852",42,852,,793,-0.053554553,0.230758048,-0.971536203,0,3.25015289,-4.601139037,0.454126491,0,1,1,1,NULL
101126,LOCAL_LEVEL,503.7498474,9cb54459-ef1c-424d-98f2-cafde138731e,NLB_464175455RAS_F0420852NCAM07753M_,1,699.2359009,1,CC_6,,dlblaney,,"42, 852",42,852,,793,0.075753583,0.101199496,-0.991977841,1,3.119737321,2.940620162,0.341339601,0,1,1,1,NULL
101127,LOCAL_LEVEL,511.9103699,1bf40012-5b33-4355-a133-ac61c5c2e9b9,NLB_464175455RAS_F0420852NCAM07753M_,1,470.0157776,1,CC_8,,dlblaney,,"42, 852",42,852,,793,-0.15001267,0.049857361,-0.987426156,0,8.603381853,7.348598941,1.22357691,0,1,1,1,NULL
101128,LOCAL_LEVEL,304.9399109,b8849128-18fd-41a6-becc-f95aa6bfaa2c,NLB_464175455RAS_F0420852NCAM07753M_,1,768.8140869,1,cc_9,,dlblaney,,"42, 852",42,852,,793,0.162861198,-0.006674156,-0.986626391,0,2.783501155,1.785354914,0.237995611,0,1,1,1,NULL
101129,LOCAL_LEVEL,393.3305647,add2c2e3-25bf-48a3-a05a-86d2c5f2a748,NLB_464175277RAS_F0420852NCAM07753M_,1,878.1688123,1,WP1,,dlblaney,,"42, 852",42,852,,793,0,0,-1,0,-0.84486157,-3.431700786,3.05E-08,0,1,1,1,NULL
101130,LOCAL_LEVEL,595.6352584,3f4017bc-a1c2-4399-85c2-4814035554df,NLB_464175142RASLF0420852NCAM00350M_,1,152.5106383,1,WP2,,dlblaney,,"42, 852",42,852,,793,-0.032650088,-0.051170352,-0.998156062,0,-3.024995448,-2.6862908,-0.023729318,0,1,1,1,NULL
101131,LOCAL_LEVEL,536.0967407,9ea34e7f-6fb7-4cb8-8683-4ea317012691,NLB_464174653RAS_F0420852NCAM00281M_,1,756.9417725,1,WP_3,,dlblaney,,"42, 852",42,852,,793,0.039502969,0.159551387,-0.986398965,0,-2.942544862,2.6815798,-0.138228979,0,1,1,1,NULL
101132,LOCAL_LEVEL,786.5329281,363b0a2b-a51a-48a4-aef0-7e4b063cbc35,NLB_464175455RASLF0420852NCAM07753M_,1,817.5400203,1,WP_4,,dlblaney,,"42, 852",42,852,,793,0.084255396,0.04882723,-0.995247155,0,1.682797915,3.044714295,0.123210261,0,1,1,1,NULL
101133,LOCAL_LEVEL,296.6636204,50a27563-e4e1-4268-b912-9bedf2cfcd8f,NLA_402816168RAS_F0050104NCAM00450M_,1,235.989166,1,Rocknest_6a_CCAM_pointing,,Gasnault,,"5, 104",5,104,,87,0.334586159,0.349600586,-0.875118032,1,2.240430904,-1.93669926,-0.459561433,0,1,1,1,NULL
101134,LOCAL_LEVEL,289.6853479,666e92fc-8771-483e-9d32-23211fc3b916,NLA_402816168RAS_F0050104NCAM00450M_,1,214.8382687,1,Rocknest_6b_CCAM_pointing,,Gasnault,,"5, 104",5,104,,87,0.187142776,0.251373939,-0.949625583,1,2.279710335,-1.969076243,-0.473417238,0,1,1,1,NULL
101135,LOCAL_LEVEL,296.3488372,481b3c0f-ee32-4eb8-81a2-5f8fb92ecbcf,FLA_404773629RASLF0050104FHAZ00206M_,1,603.2868217,1,N209,soil target,mschmidt,,"5, 104",5,104,,87,0.010454833,0.106621489,-0.994244729,1,-0.544050052,-1.560244117,0.015115182,0,1,1,1,NULL
101136,LOCAL_LEVEL,212.7253592,f30298a1-61e6-428f-a702-85b95d7022fd,NLA_402816960RAS_F0050104NCAM00322M_,1,610.2991329,1,Rocknest_3_Top1,,mschmidt,,"5, 104",5,104,,87,0.017013907,0.096535235,-0.995184135,1,-0.575550805,-3.620725618,-0.310587127,0,1,1,1,NULL
101137,LOCAL_LEVEL,520.765608,bf59e5f3-cf5e-41e3-841a-c004edb9daf6,FLA_404773629RASLF0050104FHAZ00206M_,1,545.5410996,1,LaBine,This target was selected from a front Hazcam image.  Was N132,kwlewis,,"5, 104",5,104,,88,-0.147407245,0.250558572,-0.956813207,1,0.170761676,-1.679083609,-0.098108879,0,1,1,1,NULL
